code,label,slug,restaurant_name,objectID
TYC_6,Contemporary,contemporary,Javier Montero,73138
TYC_1156,Market Cuisine,market-cuisine,Sumac,73137
TYC_1250,Seasonal Cuisine,seasonal-cuisine,Sumac,73137
TYC_1122,Traditional Cuisine,traditional-cuisine,Natxo Sellés,73136
TYC_1122,Traditional Cuisine,traditional-cuisine,Taberna el nº 10,73135
TYC_1036,Creative,creative,Árbore da Veira,73134
TYC_1101,Regional Cuisine,regional-cuisine,Casa Rubio,73133
TYC_1122,Traditional Cuisine,traditional-cuisine,La Terrazita,73132
TYC_1161,Fusion,fusion-1161,La Sartén,73131
TYC_1085,Modern Cuisine,modern-cuisine,Montia,73130
TYC_1085,Modern Cuisine,modern-cuisine,Näperõn,73129
TYC_1085,Modern Cuisine,modern-cuisine,Bevir,73127
TYC_1036,Creative,creative,Mirador de Ulía,73126
TYC_1130,Peruvian,peruvian,qapaq,73125
TYC_1014,Basque,basque,Basque,73124
TYC_6,Contemporary,contemporary,Basque,73124
TYC_1036,Creative,creative,Solla,73123
TYC_6,Contemporary,contemporary,Ola Martín Berasategui,73122
TYC_1122,Traditional Cuisine,traditional-cuisine,Ola Martín Berasategui,73122
TYC_1122,Traditional Cuisine,traditional-cuisine,Rei dos Leitões,73121
TYC_1096,Seafood,seafood-1096,Vila do Peixe,73120
TYC_1122,Traditional Cuisine,traditional-cuisine,S. Gião,73119
TYC_1068,Japanese,japanese,Go Juu,73118
TYC_1055,Galician,galician,A Mundiña,73117
TYC_1096,Seafood,seafood-1096,Cataria,73116
TYC_1162,Grills,grills-1162,Cataria,73116
TYC_1122,Traditional Cuisine,traditional-cuisine,El Barrio de San Roque,73115
TYC_1036,Creative,creative,Choco,73114
TYC_1004,Andalusian,andalusian,Choco,73114
TYC_6,Contemporary,contemporary,The View,73113
TYC_6,Contemporary,contemporary,12 Tapas,73112
TYC_1085,Modern Cuisine,modern-cuisine,Tacande,73111
TYC_1036,Creative,creative,Mesa de Lemos,73110
TYC_6,Contemporary,contemporary,Tohqa,73109
TYC_6,Contemporary,contemporary,Kea Basque Fine Food,73108
TYC_1122,Traditional Cuisine,traditional-cuisine,Ganbara,73107
TYC_1122,Traditional Cuisine,traditional-cuisine,Bambú,73106
TYC_1122,Traditional Cuisine,traditional-cuisine,DOP,73105
TYC_1122,Traditional Cuisine,traditional-cuisine,Cantinho do Avillez,73104
TYC_6,Contemporary,contemporary,Xtoria,73103
TYC_1068,Japanese,japanese,Kita,73102
TYC_1161,Fusion,fusion-1161,Kita,73102
TYC_1096,Seafood,seafood-1096,Taberna Casa Bigote,73101
TYC_1122,Traditional Cuisine,traditional-cuisine,Taberna Casa Bigote,73101
TYC_1085,Modern Cuisine,modern-cuisine,Iván Cerdeño,73100
TYC_1085,Modern Cuisine,modern-cuisine,Alejandro Serrano,73099
TYC_1122,Traditional Cuisine,traditional-cuisine,El Vagón de Beni,73098
TYC_1044,Spanish,spanish,El Vagón de Beni,73098
TYC_1085,Modern Cuisine,modern-cuisine,Pacífico,73097
TYC_55,Fusion,fusion,Ajonegro,73096
TYC_1122,Traditional Cuisine,traditional-cuisine,Ruta del Veleta,73095
TYC_1156,Market Cuisine,market-cuisine,Besta,73094
TYC_6,Contemporary,contemporary,Besta,73094
TYC_1036,Creative,creative,L'Escaleta,73093
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,L'Escaleta,73093
TYC_1122,Traditional Cuisine,traditional-cuisine,Los Berengueles,73092
TYC_1036,Creative,creative,Alevante,73091
TYC_1085,Modern Cuisine,modern-cuisine,Arbequina,73090
TYC_1065,International,international,Arbequina,73090
TYC_1085,Modern Cuisine,modern-cuisine,Amós,73089
TYC_1122,Traditional Cuisine,traditional-cuisine,Normal,73088
TYC_1156,Market Cuisine,market-cuisine,La Bodega de Ola,73087
TYC_1122,Traditional Cuisine,traditional-cuisine,La Cartería,73086
TYC_1085,Modern Cuisine,modern-cuisine,La Cartería,73086
TYC_1085,Modern Cuisine,modern-cuisine,Saddle,73085
TYC_1031,Classic Cuisine,classic-cuisine,Saddle,73085
TYC_1085,Modern Cuisine,modern-cuisine,Suba,73084
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Suba,73084
TYC_1122,Traditional Cuisine,traditional-cuisine,Machado,73083
TYC_1220,Japanese Steakhouse,japanese-steakhouse,Pilar Akaneya,73082
TYC_1036,Creative,creative,La Fortaleza,73081
TYC_1122,Traditional Cuisine,traditional-cuisine,Donamaria'ko Benta,73080
TYC_1122,Traditional Cuisine,traditional-cuisine,Bodegón Alejandro,73079
TYC_1085,Modern Cuisine,modern-cuisine,Vista,73078
TYC_1101,Regional Cuisine,regional-cuisine,Casa do Polvo Tasquinha,73077
TYC_1156,Market Cuisine,market-cuisine,Casa Obdulia,73076
TYC_9,Seafood,seafood,Casa Obdulia,73076
TYC_1085,Modern Cuisine,modern-cuisine,Cantinho do Avillez,73075
TYC_1122,Traditional Cuisine,traditional-cuisine,Petiscas,73074
