code,label,slug,restaurant_name,objectID
TYC_1036,Creative,creative,Aleia,73544
TYC_1122,Traditional Cuisine,traditional-cuisine,La Despensa del Etxanobe,73543
TYC_1068,Japanese,japanese,KUMA,73542
TYC_1036,Creative,creative,Xerta,73541
TYC_1122,Traditional Cuisine,traditional-cuisine,Meseguer,73540
TYC_1122,Traditional Cuisine,traditional-cuisine,Ca L'Amagat,73538
TYC_1162,Grills,grills-1162,Etxebarri,73537
TYC_1122,Traditional Cuisine,traditional-cuisine,La Bodeguilla,73536
TYC_1142,Rice Dishes,rice-dishes,Lavoe,73535
TYC_1085,Modern Cuisine,modern-cuisine,Alkimia,73534
TYC_1036,Creative,creative,ABaC,73533
TYC_1128,Meats and Grills,meats-and-grills,Bardeni-Caldeni,73532
TYC_1122,Traditional Cuisine,traditional-cuisine,Terra,73531
TYC_1085,Modern Cuisine,modern-cuisine,Fierro,73530
TYC_1085,Modern Cuisine,modern-cuisine,Zintziri Errota,73529
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,Quadrat,73528
TYC_1036,Creative,creative,365,73527
TYC_1156,Market Cuisine,market-cuisine,Ca L'Estrany,73526
TYC_1122,Traditional Cuisine,traditional-cuisine,Consolación,73525
TYC_1122,Traditional Cuisine,traditional-cuisine,La Favorita,73524
TYC_6,Contemporary,contemporary,Casa José,73523
TYC_6,Contemporary,contemporary,Aguaviva,73522
TYC_1122,Traditional Cuisine,traditional-cuisine,Venta de Ulzama,73521
TYC_1036,Creative,creative,Raúl Resino,73520
TYC_1096,Seafood,seafood-1096,Rías de Galicia,73519
TYC_1036,Creative,creative,La Boscana,73518
TYC_1122,Traditional Cuisine,traditional-cuisine,Pont Vell,73517
TYC_1085,Modern Cuisine,modern-cuisine,Ébano,73516
TYC_1122,Traditional Cuisine,traditional-cuisine,El Secreto de Chimiche,73515
TYC_1128,Meats and Grills,meats-and-grills,El Secreto de Chimiche,73515
TYC_1083,Mediterranean Cuisine,mediterranean-cuisine,La Ereta,73514
TYC_1122,Traditional Cuisine,traditional-cuisine,Cami·Vell,73513
